mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
22	19	55	55	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	144								
22	19	223/4	223/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	145								
22	19	56	56	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	146		articMarcatoAbove						
22	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	147		articMarcatoAbove						
23	20	58	58	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	148		articMarcatoAbove						
23	20	59	59	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	149		articMarcatoAbove						
23	20	60	60	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	150						6		
23	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	151		articMarcatoAbove						
23	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	152		articMarcatoAbove						
23	20	60	60	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	153								
23	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	154								
24	21	61	61	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	155								
24	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	156								
24	21	62	62	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	157		articMarcatoAbove						
24	21	63	63	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	158		articMarcatoAbove						
24	21	61	61	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	159								
24	21	247/4	247/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	160								
24	21	62	62	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	161		articMarcatoAbove						
24	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	162		articMarcatoAbove						
25	22	64	64	0.0	0	0	Spanner	3/4	1	1	0											1
25	22	64	64	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	163		articMarcatoAbove						1
25	22	65	65	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	164		articMarcatoAbove						1
25	22	66	66	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	165						7		1
25	22	66	66	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	166								1
25	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	167								1
25	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	168		articMarcatoBelow						
25	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	169		articMarcatoBelow						
25	22	66	66	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	170								
25	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	171								
26	23	67	67	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	172								1
26	23	271/4	271/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	173								1
26	23	68	68	0.0	1/4	1/4	Spanner	3/4	1	1	0											
26	23	68	68	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	174		articMarcatoAbove						
26	23	69	69	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	175		articMarcatoAbove						
26	23	67	67	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	176								
26	23	271/4	271/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	177								
26	23	68	68	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	178		articMarcatoBelow						
26	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	179		articMarcatoBelow						
27	24	70	70	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	180		articMarcatoAbove						
27	24	71	71	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	181		articMarcatoAbove						
27	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	182		articMarcatoBelow						
27	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	183		articMarcatoBelow						
